state,area,medianhouse,medianunit,code
NSW,Oberon,281500,209250,16100
SA,Onkaparinga,345000,252000,45340
NSW,Orange,335000,215500,16150
SA,Orroroo/Carrieton,180000,,45400
NSW,Palerang,580000,,16180
NT,Palmerston,499500,419000,72800
NSW,Parkes,217250,,16200
QLD,Paroo,30500,,35800
NSW,Parramatta,850000,510000,16250
NSW,Penrith,525000,370000,16350
WA,Peppermint Grove,3700000,,56930
WA,Perenjori,,,57000
WA,Perth,910500,510000,57080
SA,Peterborough,88500,,45540
WA,Pingelly,150000,,57140
NSW,Pittwater,1250000,700000,16370
WA,Plantagenet,235000,,57210
SA,Playford,250000,142000,45680
SA,Port Adelaide Enfield,400000,285000,45890
SA,Port Augusta,200000,120000,46090
WA,Port Hedland,753000,660000,57280
SA,Port Lincoln,310000,232500,46300
NSW,Port Macquarie-Hastings,430000,295000,16380
VIC,Port Phillip,1165000,545000,25900
SA,Port Pirie City and Dists,175000,97000,46450
NSW,Port Stephens,422000,335750,16400
SA,Prospect,608250,335500,46510
VIC,Pyrenees,180000,,25990
WA,Quairading,175000,,57350
NSW,Queanbeyan,543438,327500,16470
VIC,Queenscliffe,695000,,26080
QLD,Quilpie,125000,,36150
NSW,Randwick,1585000,744500,16550
WA,Ravensthorpe,245000,,57420
QLD,Redland,480000,365000,36250
SA,Renmark Paringa,182750,95000,46670
QLD,Richmond,,,36300
NSW,Richmond Valley,281250,277000,16610
SA,Robe,350000,,46860
NSW,Rockdale,1050000,625000,16650
QLD,Rockhampton,300000,363750,36370
WA,Rockingham,430000,320000,57490
WA,Roebourne,450500,494650,#N/A
NT,Roper Gulf,,,73600
SA,Roxby Downs,390000,,46970
NSW,Ryde,1305000,622500,16700
SA,Salisbury,310000,264000,47140
WA,Sandstone,,,57630
QLD,Scenic Rim,420000,244000,36510
WA,Serpentine-Jarrahdale,473500,,57700
WA,Shark Bay,,,57770
NSW,Shellharbour,453000,351000,16900
NSW,Shoalhaven,379000,275000,16950
NSW,Singleton,436000,261250,17000
NSW,Snowy River,325000,220000,17050
QLD,Somerset,329000,280000,36580
TAS,Sorell,280000,222500,64810
QLD,South Burnett,210000,175000,36630
VIC,South Gippsland,258000,260000,26170
WA,South Perth,950000,540000,57840
QLD,Southern Downs,260000,216500,36660
VIC,Southern Grampians,170000,,26260
SA,Southern Mallee,110000,,47290
TAS,Southern Midlands,271000,,65010
WA,Stirling,640000,430000,57910
VIC,Stonnington,1410000,562000,26350
VIC,Strathbogie,247000,180000,26430
NSW,Strathfield,1650000,574000,17100
SA,Streaky Bay,240000,,47490
WA,Subiaco,1200000,546500,57980
QLD,Sunshine Coast,490000,355000,36720
VIC,Surf Coast,595000,460000,26490
NSW,Sutherland Shire,940500,610000,17150
WA,Swan,470000,374000,58050
VIC,Swan Hill,200000,180000,26610
NSW,Sydney,1187500,702250,17200
QLD,Tablelands,315000,205000,36820
WA,Tammin,,,58190
NSW,Tamworth Regional,305000,195000,17310
TAS,Tasman,210000,,65210
SA,Tatiara,150000,,47630
SA,Tea Tree Gully,370000,277500,47700
NSW,Temora,217500,,17350
NSW,Tenterfield,190000,,17400
SA,The Coorong,170000,,47800
NSW,The Hills Shire,1038000,680000,17420
WA,Three Springs,90000,,58260
WA,Toodyay,312500,,58330
QLD,Toowoomba,360000,295000,36910
QLD,Torres,,,36950
QLD,Torres Strait Island,,,36960
QLD,Townsville,360000,275000,37010
VIC,Towong,175000,,26670
WA,Trayning,,,58400
NSW,Tumbarumba,175000,,17450
SA,Tumby Bay,260000,,47910
NSW,Tumut Shire,226000,,17500
NSW,Tweed,476000,320000,17550
ACT,Unincorporated ACT,570000,419000,89399
NSW,Unincorporated NSW,,,19399
NT,Unincorporated NT,287500,530000,79399
SA,Unincorporated SA,88000,,49399
SA,Unley,795000,393000,47980
WA,Upper Gascoyne,,,58470
NSW,Upper Hunter Shire,305000,,17620
NSW,Upper Lachlan Shire,323000,,17640
NSW,Uralla,315000,,17650
NSW,Urana,89000,,17700
SA,Victor Harbor,353000,245000,48050
WA,Victoria Park,620000,480000,58510
